Id,WnvPresent
1,9.84420665671e-07
2,3.4206491111e-07
3,7.85514142644e-06
4,1.28714961043e-08
5,2.32753361097e-08
6,9.84684261865e-08
7,7.85514142644e-06
8,5.25321604125e-15
9,5.79928103619e-07
10,1.85494570879e-07
11,4.85296950126e-06
12,8.68926847203e-09
13,1.24126449677e-08
14,8.00977312313e-08
15,4.85296950126e-06
16,3.92191497256e-15
17,8.88361318362e-07
18,3.11261722582e-07
19,7.42346199473e-06
20,1.21031424842e-08
21,2.29369166824e-08
22,9.68385197388e-08
23,7.42346199473e-06
24,5.31172063763e-15
25,1.70649167409e-05
26,3.88367039123e-06
27,0.000172050639422
28,9.79801494095e-08
29,2.4268357449e-07
30,2.33089197171e-07
31,0.000172050639422
32,9.97284711203e-15
33,2.22897107483e-05
34,5.23548680419e-06
35,0.000217120806105
36,1.1252264038e-07
37,2.88730678281e-07
38,2.45893537743e-07
39,0.000217120806105
40,1.06902712098e-14
41,2.86648815139e-05
42,6.86829271573e-06
43,0.000267121487042
44,1.30344449969e-07
45,3.50244123839e-07
46,2.62243084668e-07
47,0.000267121487042
48,1.1699222267e-14
49,2.11816244392e-05
50,4.95798021861e-06
51,0.000207997272912
52,1.09348480633e-07
53,2.77994457505e-07
54,2.42918716234e-07
55,0.000207997272912
56,1.05129289035e-14
57,1.9902199996e-05
58,4.49654040494e-06
59,0.000199974481144
60,1.11221448637e-07
61,2.96972212957e-07
62,2.50902695201e-07
63,0.000199974481144
64,1.12010694715e-14
65,1.45449323722e-05
66,3.42561682413e-06
67,0.000145249455646
68,8.46141743626e-08
69,1.98924129971e-07
70,2.14570735912e-07
71,0.000145249455646
72,8.71775406837e-15
73,0.000194584669695
74,5.94301903741e-05
75,0.00110725621449
76,4.08715993241e-07
77,1.52932467498e-06
78,4.35450406871e-07
79,0.00110725621449
80,2.53086667602e-14
81,2.95354906862e-05
82,7.12394930229e-06
83,0.000270503166458
84,1.31159157493e-07
85,3.53486613582e-07
86,2.6224568114e-07
